Alfa,P_atm,Fore,Drag,Aft,P,L,D
-8,0,-0.108371,0.099491,0.149379,0,,
-4,0,-0.11008,0.108077,0.140552,0,-1.3738944,0.7650126
0,0,-0.107289,0.10764,0.146906,0,-0.1813864,0.7260759
4,0,-0.103632,0.10885,0.153082,0,1.1008368,0.8338869
8,0,-0.099438,0.112663,0.159334,0,2.4629952,1.1736252
12,0,-0.095417,0.117539,0.164642,0,3.6794968,1.6080768
16,0,-0.091271,0.12461,0.169577,0,4.8636592,2.2381029
20,0,-0.088231,0.133711,0.174786,0,5.9393288,3.049002
24,0,-0.085809,0.144774,0.179565,0,6.8783392,4.0347153
28,0,-0.084607,0.155483,0.183005,0,7.483656,4.9888872
32,0,-0.085622,0.165417,0.184686,0,7.5705024,5.8740066
36,0,-0.094823,0.162998,0.181824,0,5.9974872,5.6584737
40,0,-0.097779,0.16371,0.178616,0,5.1937016,5.7219129
44,0,-0.099956,0.169712,0.179349,0,5.005404,6.2566911
48,0,-0.102135,0.176415,0.180173,0,4.828712,6.8539284
,,,,,,,
L_cal,130.4,,,,,,
D_cal,89.1,,,,,,
M_cal,-8.335,,,,,,